№; Компания Company;СтендBooth; Страна Country
1;  IMEX REAL ESTATE;D2.3; Россия, ОАЭ Russia, UAE
2; АМО ИНСАЙТ ;F; Великобритания UK
3; ASTONS ВЕЛИКОБРИТАНИЯ ;D4.1; Великобритания UK
4; БАЛТИЙСКИЙ ДОМ BALTHOUSE;D; Латвия Latvia
5;  BERKELEY GROUP;C2; Великобритания UK
6; БИСА (БОЛГАРСКАЯ ИНВЕСТИЦИОННО-СТРОИТЕЛЬНАЯ АССОЦИАЦИЯ) ;B3.1; Болгария Bulgaria
7;  BMG INVEST GMBH;C2.3; Германия Germany
8;  WESTINVEST;C3.1; Венгрия Hungary
9;  VILNIUS GRAND HOMES;D4; Литва Lithuania
10;  VOLDAN;B4.1; Венгрия Hungary
11;  GARTAL;C3.2; Чехия Czech Republic
12; ГЛОБАЛ ЛИНК GLOBAL LINK;F1; Россия Russia
13;  GLOBAL PROMOTION GROUP;B5; Европа Europe
14; ГЛОБУС TORREVIEJA – GLOBUS;B3; Испания Spain
15; ДАЙДЖЕСТ РОССИЙСКОЙ И ЗАРУБЕЖНОЙ НЕДВИЖИМОСТИ ;D3.3; Россия Russia
16; ДОМ ДЕШЕВЛЕ DOM DESHEVLE;B5.2; Россия Russia
17; ДОМ-ДЕ DOM-DE;B1.3; Германия Germany
18;  ENGEL & VOLKERS;""; Португалия Portugal
19; ИСК ЗАПАД, ОАО ;B1; Россия Russia
20; И.Р.А. ИТАЛЬЯНО - РУССКАЯ АССОЦИАЦИЯ I.R.A. ITALIAN RUSSIAN ASSOCIATION;B2; Италия Italy
21; ИММОКОНЦЕПТ IMMOCONCEPT;B1.2; Франция France
22; ИПОТЕКА И КРЕДИТ MORTGAGE AND CREDIT;D2.2; Россия Russia
23;  ITALIA- MADE IN ITALY;F5; Россия Russia
24;  CASOBI (SAVONASAC CINC S.L);D3.1; Испания Spain
25; КОММЕРСАНТЪ ЛОНДОН ;D4.1; Великобритания UK
26; ЛОНДОНДОМ.КОМ  LONDONDOM.COM;C2; Великобритания UK
27;  MEDOUSA CONSTRUCTIONS ;D1; Кипр Cyprus
28; МУВ.СУ MOVE.SU;D3.2; Россия Russia
29; СЕМЕЙНЫЙ АНГЛИЙСКИЙ ЛАГЕРЬ NARNIA ENGLISH OUTDOORS NARNIA ENGLISH OUTDOORS;F3; Литва, Россия Lithuania, Russia
30; НВ КОМПАНИЯ NV COMPANY;D2; Италия, Испания, Чехия, Черногория, Греция Italy, Spain, Czech Republic, Montenegro, Greece
31; НЕДВИЖИМОСТЬ И ЦЕНЫ ;D4.3; Россия Russia
32;  OTTHON CENTRUM;C2.1; Венгрия  Hungary
33;  PARAJDI REAL ESTATE;D1.3; Австрия Austria
34; РЕАЛИТИ КЛАБ REALITY CLUB;B4.1; Европа Europe
35;  RE/MAX BELARUS;C4.1; Беларусь Belarus
36;  REAL ESTATE FOR ME;D2.1; Черногория Montenegro
37; РОССИЙСКАЯ ГИЛЬДИЯ РИЭЛТОРОВ (РГР) RUSSIAN GUILD OF REALTORS (RGR);B5.1; Россия Russia
38;  RPGMEDIA;D4.2; Россия Russia
39;  READY PROPERTY ;B2; Италия Italy
40; САЛОН ЗАРУБЕЖНОЙ НЕДВИЖИМОСТИ THE SALON OF FOREIGN REAL ESTATE, MAGAZINE;D1.2; Россия Russia
41;  SELEV D.O.O. IGALO;B4.2; Черногория Montenegro
42;  CENTURY 21 SLOVENIA;C1; Словения Slovenia
43;  CPBK;B2; Италия Italy
44; СОЛВЕКС, ТУРИСТИЧЕСКАЯ КОМПАНИЯ ;B3.1; Болгария Bulgaria
45;  STUDYQA;F4; Россия Russia
46;  TIANELLO  SAGL;D1.1; Швейцария Switzerland
47; ФЕДЕРАЦИЯ БОЕВЫХ ИСКУССТВ, МОСКВА ;B3.1; Россия Russia
48;  FUTURE REAL ESTATE;C1; Словения Slovenia
49; ХОМС ОВЕРСИЗ.РУ HOMES OVERSEAS;B4; Россия Russia
50; ЦЕНТР ПРОМЫШЛЕННОСТИ РЕСПУБЛИКИ БОЛГАРИЯ В МОСКВЕ ;B3.1; Болгария Bulgaria
51; ЮНИВЪРСЪЛ ИНВЕСТМЪНТ ПРОПЪРТИ UNIVERSAL PROPERTY GROUP;D3; Болгария Bulgaria
